timestamp,datapath_id,src_ip,dst_ip,src_mac,dst_mac,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,packet_rate,byte_rate,arp_reply_count,gratuitous_arp,ip_mac_changes,packet_in_rate,active_flow_count,label
1773772374.4392,42066486502464,10.0.0.12,10.0.0.6,00:00:00:00:00:0b,00:00:00:00:00:05,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.14,10.0.0.3,00:00:00:00:00:0d,00:00:00:00:00:02,6,36664,8080,1,74,0.001,1000.0,74000.0,0,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.3,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0d,6,8080,36664,1,74,0.001,1000.0,74000.0,2,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.15,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:01,6,37882,5201,1,74,0.001,1000.0,74000.0,0,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.2,10.0.0.15,00:00:00:00:00:01,00:00:00:00:00:0e,6,5201,37882,1,54,0.001,1000.0,54000.0,1,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,1,0,0,0.5968,32,0
1773772374.4392,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,2,0,0,0.5968,32,0
1773772384.4625,42066486502464,10.0.0.3,10.0.0.7,00:00:00:00:00:02,00:00:00:00:00:06,1,0,0,6,588,35.787,0.1677,16.4305,1,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.7,10.0.0.3,00:00:00:00:00:06,00:00:00:00:00:02,1,0,0,6,588,35.6398,0.1684,16.4984,0,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.16,10.0.0.10,00:00:00:00:00:0f,00:00:00:00:00:09,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.10,10.0.0.16,00:00:00:00:00:09,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.15,10.0.0.13,00:00:00:00:00:0e,00:00:00:00:00:0c,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.13,10.0.0.15,00:00:00:00:00:0c,00:00:00:00:00:0e,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.17,10.0.0.13,00:00:00:00:00:10,00:00:00:00:00:0c,1,0,0,3,294,0.0042,718.7771,70440.1563,0,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.13,10.0.0.17,00:00:00:00:00:0c,00:00:00:00:00:10,1,0,0,3,294,0.0273,109.7641,10756.8772,0,0,0,0.3991,32,0
1773772384.4625,42066486502464,10.0.0.16,10.0.0.2,00:00:00:00:00:0f,00:00:00:00:00:01,6,43138,5201,1,74,0.001,1000.0,74000.0,0,0,0,0.3991,32,0
